Timestamp,Department Abbreviation,Course Name,Course Number,Credits,Prerequisites,Length,NCAA Approved,Elective,Grade,Fee,Description,Notes,Email Address,Fine Arts Sub-Department,CTE Sub-Department
1/4/2023 16:38:56,MATH,Test Math Course,000000009,1,N/A,Year,No,Yes,"9, 10, 11, 12",$5.00 per year,Test Description,,jonathan.olson@aps.edu,,
1/4/2023 13:51:11,SCI,Physics I,43111,1,N/A,Year,Yes,No,11,,"This laboratory class is designed to exceed state standards and offer extended  opportunities for students. It provides preparation for all subsequent science courses including Advanced  Placement classes. The student investigates topics of study that include, but are not restricted to, principles of motion, gravitation, heat, light, sound, electricity and magnetism, forces of nature, plate tectonics, and cosmology. As appropriate these topics are examined at scales ranging from atomic to astronomical. The focus is on conceptual understanding and mathematical relationships and applications. Literacy strategies are integrated throughout the curriculum. ",Concurrent enrollment in Algebra II is recommended. ,desiree.sers@aps.edu,,
1/4/2023 13:51:56,SCI,Biology I,41111,1,N/A,Year,Yes,No,9,,"This laboratory course is designed to provide information regarding the fundamental  concepts of life and life processes. Topics covered include, but are not restricted to, cell structure and function, biochemistry, genetics, ecology, evolution, taxonomy, and certain aspects of earth science. Reading,  writing, and speaking strategies are integrated in the course.
",,desiree.sers@aps.edu,,
1/4/2023 13:52:54,SCI,Chemistry I ,42111,1,N/A,Year,Yes,No,10,,"This laboratory course exceeds state standards and offers extended opportunities for  students. It provides preparation for all subsequent science courses including Advanced Placement courses.  The student investigates substances and how they react with one another. Concepts of study include, but are  not limited to, scientific measurement, properties and structures of matter, atomic theory, classification and  periodic trends, bonding theory, chemical reactions (e.g., general types, acid/base, redox), rates, equilibrium,  stoichiometry, energy, (e.g., EMR, bonding), nuclear chemistry, and solubility. In addition, the student learns  how chemistry and Earth and space science are related by studying electromagnetic radiation, radioactivity,  the structure of the Earth, and the groundwater. Scientific thinking and practice (e.g., extensive laboratory  activities, critical thinking, problem solving), science and society, and literacy are integrated in all science courses. 
",It is strongly recommended that the student has successfully completed Algebra I prior to taking Chemistry I. This course meets college entrance requirements. ,desiree.sers@aps.edu,,
1/4/2023 13:58:50,SCI,AP Physics I,43171,1,N/A,Year,Yes,No,"11, 12",,"AP Physics I is an algebra-based, introductory college-level physics course that explores topics such as Newtonian mechanics (including rotational motion); work, energy, and power;  mechanical waves and sound; and introductory, simple circuits. Through inquiry-based learning, students  will develop scientific critical thinking and reasoning skills. 25% of the instructional time will be spent in the  hands-on laboratory work, with an emphasis on inquiry-based investigations that provide students with  opportunities to apply the science practices. No prior course work in physics is necessary.
","The students earn a weighted grade for this course. For students interested in careers in engineering or science, the recommended course of study is AP Physics I in junior year. Completion of Algebra I and Geometry with a B or higher is strongly recommended.

Consult PSAT Scores based on the AP Potential key accessible through PSAT/NMSQT",desiree.sers@aps.edu,,
1/4/2023 14:12:45,SCI,AP Physics II,43181,1,AP Physics I or comparable introductory course. Students should have taken or be  concurrently taking Algebra II or higher.,Year,Yes,No,"11, 12",,"AP Physics II is algebra-based, introductory college-level physics course that explores  topics such as fluid statics and dynamics; thermodynamics with kinetic theory; PV diagrams and probability;  electrostatics; electrical circuits with capacitors; magnetic fields; electromagnetism; physical and geometric optics; and quantum, atomic, and nuclear physics. Through inquiry-based learning, students will develop  scientific critical thinking and reasoning skills. 25% of the instructional time will be spent in hands-on laboratory work on inquiry-based lab investigations that provide students with opportunities to apply the science practices. 
",The students earn a weighted grade for this course. ,desiree.sers@aps.edu,,
1/4/2023 14:13:52,SCI,Anatomy and Physiology,44115,1,Biology I and Chemistry I are highly recommended ,Year,Yes,Yes,"10, 11, 12",$20/year,"Anatomy and Physiology is a survey course of study directed through the anatomical  and physiological systems of humans. This laboratory course* is designed for the student interested in health  occupations and in how the body works. The student explores the structure and function of systems and how each contributes to the complete homeostasis of the body, including integumentary, skeletal, muscular,  nervous, circulatory, digestive, renal, respiratory, and reproductive. The student also participates in the  examination of cells, histology, and basic chemistry as it applies to the study of physiology. Dissection is  required for the anatomy portion of the course. *Lab Courses: a minimum of 250 minutes per week of  directed class activity for 36 weeks, 40% of which must be lab oriented, for a total of 150 clock hours (90 hours of class plus 60 hours of lab) shall be required for one (1) unit of credit, excluding passing period. [APS Procedural Directives, Section I – Instruction, Basis for offering credit]. 
",,desiree.sers@aps.edu,,
1/4/2023 14:17:13,SCI,AP Biology,44131,1,Completion of Biology and Chemistry with a C or better is strongly recommended,Year,Yes,Yes,"11, 12",,"This laboratory course is designed to be the equivalent of a college introductory  biology course taken by biology majors. It is an intense course of study stressing strong study skills, critical thinking skills, and time management skills. Topics of study include molecules, cells, heredity, evolution, organisms, populations, and ecology. Laboratory work is strongly emphasized, including DNA biotechnology,  biochemistry, and population dynamics. At the completion of this course, the student is strongly encouraged  to take the AP exam. The student who demonstrates sufficient qualification on this exam may receive college  level credit and advance to upper level coursework in biology at the college level. The student is expected to complete some course assignments outside the school year (i.e., summer). ","The College Board states that ""The AP Biology course is designed to be taken by students after the successful completion of a first course in high school biology and one in high school chemistry as well."" Please see apcentral.collegeboard.com

This course carries a weighted grade.

Consult PSAT Scores based on the AP Potential key accessible through PSAT/NMSQT",desiree.sers@aps.edu,,
1/4/2023 14:22:25,SCI,AP Environmental Science,44135,1,"C or better in Algebra I,  Biology I and Chemistry I are highly recommended. ",Year,Yes,Yes,"10, 11, 12",$20/year,"This laboratory class* is designed to provide the student with the scientific principles, concepts and methodologies required to understand, identify, and analyze environmental problems both natural and man-made, and to examine alternative solutions for resolving and/or preventing them.  The course is interdisciplinary, covering topics in the fields of geology, biology, chemistry, geography, and physics. The student examines the following themes: science is a process; energy conversions underlies all ecological processes; the Earth itself is one interconnected system; humans alter natural systems; environmental problems have cultural and social contexts; and human survival depends on developing practices that will achieve sustainable systems.  The student is encouraged, but is not required, to take the AP exam at the end of the school year.  The student may be expected to complete some course assignments outside the school year (i.e., summer).",,desiree.sers@aps.edu,,
1/5/2023 7:13:45,SCI,Intro to Forensics,43142,1,Successful Completion of Biology I and Chemistry I.,Year,Yes,Yes,"10, 11, 12",$20/year,"This laboratory course is designed as a course for the student interested in forensic  science. The philosophical, rational, and practical framework that supports a forensic investigation is  presented via an integrated curriculum. This course presents the unifying principles of forensic science,  discusses the foundation of forensic science in the basic sciences and mathematics, and introduces the  technique of integrating these areas in the determination of the cause of death. The student studies forensic  anthropology, biochemistry, chemistry, botany, entomology, and physics as well as problem-solving  techniques utilized in analyzing a crime scene. 
","Students interested in this course for their 10th grade year can obtain approval from their current Science teacher or the Department Chair (Sers) 

*This course requires parent/guardian permission to view course content. ",desiree.sers@aps.edu,,
